state;postcode;locality;division
D;847;Burrundie;LINGIARI
D;847;Emerald Springs;LINGIARI
D;847;Esmeralda Farm;LINGIARI
D;847;Mary River Stn;LINGIARI
D;847;Old Mission;LINGIARI
D;850;Numul Numul Stn;LINGIARI
D;850;Pandanus Stn;LINGIARI
D;852;Balbirini Stn;LINGIARI
D;852;Banjo Stn;LINGIARI
D;852;Broadmere Stn;LINGIARI
D;852;Brumby Plains;LINGIARI
D;852;Buchanan Downs Stn;LINGIARI
D;852;Coolibah Stn;LINGIARI
D;852;Dalangarr;LINGIARI
D;852;Dixie Stn;LINGIARI
D;852;Edith Springs Stn;LINGIARI
D;852;Flying Fox Stn;LINGIARI
D;852;Gilnockie Stn;LINGIARI
D;852;Goondburoon;LINGIARI
D;852;Gorpulyul;LINGIARI
D;852;Humbert River Stn;LINGIARI
D;852;Kneebone;LINGIARI
D;852;Leila Creek Stn;LINGIARI
D;852;Mole Hill;LINGIARI
D;852;Moroak Stn;LINGIARI
D;852;Mt McMinn Stn;LINGIARI
D;852;Murrnburrnum;LINGIARI
D;852;Nutwood Downs Stn;LINGIARI
D;852;Riveren Stn;LINGIARI
D;852;Ruby Springs;LINGIARI
D;852;Scott Creek Stn;LINGIARI
D;852;Top Springs;LINGIARI
D;852;Two Rivers Stn;LINGIARI
D;852;Wombungi Stn;LINGIARI
D;854;Bauhinia Downs;LINGIARI
D;854;Limmen Bight;LINGIARI
D;854;Lorella Spring Stn;LINGIARI
D;854;Milibuthurra;LINGIARI
D;854;Relief Creek Yard;LINGIARI
D;860;Burudu;LINGIARI
D;862;Banka Banka Stn;LINGIARI
D;862;Crow Downs;LINGIARI
D;862;Hingstons Place;LINGIARI
D;862;Murranji Stn;LINGIARI
D;862;Nudguburra;LINGIARI
D;862;Phillip Creek Stn;LINGIARI
D;862;Threeways;LINGIARI
D;862;Ucharonidge Stn;LINGIARI
D;862;Walhallow Stn;LINGIARI
D;870;Basso's Farm;LINGIARI
D;870;Ileparratye;LINGIARI
D;870;Itwiyethwenge;LINGIARI
D;870;Uminyuluk;LINGIARI
D;872;10 Mile Outstation;LINGIARI
D;872;Aileron;LINGIARI
D;872;Alkuralkwa;LINGIARI
D;872;Amburla Stn;LINGIARI
D;872;Angkerle Arrenge B;LINGIARI
D;872;Arrkapa;LINGIARI
D;872;Delmore Downs Stn;LINGIARI
D;872;Erldunda;LINGIARI
D;872;Glen Helen Stn;LINGIARI
D;872;Hale River Homestead;LINGIARI
D;872;Horseshoe Bend Stn;LINGIARI
D;872;Huckitta Stn;LINGIARI
D;872;Indiana Stn;LINGIARI
D;872;Injulkama;LINGIARI
D;872;Ipalala;LINGIARI
D;872;Irriltyere A;LINGIARI
D;872;Itchy Koo Park;LINGIARI
D;872;Kings Creek Stn;LINGIARI
D;872;Little Well;LINGIARI
D;872;Macdonald Downs Stn;LINGIARI
D;872;Manners Creek Stn;LINGIARI
D;872;Motnas;LINGIARI
D;872;Mt Barkly Stn;LINGIARI
D;872;Mulga Park Stn;LINGIARI
D;872;Palm Paddock;LINGIARI
D;872;Ringwood Stn;LINGIARI
D;872;Singleton Stn;LINGIARI
D;872;Snake Well;LINGIARI
D;872;Spotted Tiger;LINGIARI
D;872;Sugar Creek;LINGIARI
D;872;Ten Mile Outstation;LINGIARI
D;872;Tnyimipurta;LINGIARI
D;872;Tobermorey Stn;LINGIARI
D;872;Tommyhawk Swamp;LINGIARI
D;872;Town Bore;LINGIARI
D;872;Ulpunda;LINGIARI
D;872;Uluru National Park;LINGIARI
D;872;Uluru-Kata Tjuta;LINGIARI
D;872;Umbeara Stn;LINGIARI
D;872;Unpayekenhe;LINGIARI
D;880;East Woody;LINGIARI
D;880;Galaru;LINGIARI
D;880;Yinimala;LINGIARI
D;822;Deleye;LINGIARI
D;822;Galawdjapin;LINGIARI
D;822;Hayes Creek;LINGIARI
D;822;Mickett Creek;LINGIARI
D;822;Mooronga;LINGIARI
D;822;Mt Ringwood Stn;LINGIARI
D;822;Mulingi;LINGIARI
D;822;Pandayal;LINGIARI
D;822;Paradise Farm;LINGIARI
D;822;Red Lilly;LINGIARI
D;822;Twin Hill;LINGIARI
D;822;Waminari;LINGIARI
D;822;Wigram Island;LINGIARI
D;822;Wulkabimirri;LINGIARI
D;830;Archer;SOLOMON
D;846;Bridge Creek Stn;LINGIARI
D;852;Amungee Mungee Stn;LINGIARI
D;852;Big River Stn;LINGIARI
D;852;Birrindudu Stn;LINGIARI
D;852;Bubble Bubble;LINGIARI
D;852;Bunda Stn;LINGIARI
D;852;Camfield Stn;LINGIARI
D;852;Djarrung;LINGIARI
D;852;Doojum;LINGIARI
D;852;Dry River Stn;LINGIARI
D;852;Dungowan Stn;LINGIARI
D;852;Gorrie Stn;LINGIARI
D;852;Inverway Stn;LINGIARI
D;852;Lakefield Stn;LINGIARI
D;852;Legune Stn;LINGIARI
D;852;Limbunya Stn;LINGIARI
D;852;Mainoru Stn;LINGIARI
D;852;Mamadi;LINGIARI
D;852;Maranboy;LINGIARI
D;852;Mathison Stn;LINGIARI
D;852;Moolooloo Stn;LINGIARI
D;852;Mountain Valley Stn;LINGIARI
D;852;Old Top Springs;LINGIARI
D;852;Wave Hill Stn;LINGIARI
D;852;Wongalara Stn;LINGIARI
D;852;Yinguwunarri;LINGIARI
D;854;Bujan;LINGIARI
D;854;Garawa 3;LINGIARI
D;854;Ryans Bend;LINGIARI
D;854;Tjoungouri;LINGIARI
D;854;Wundigalla;LINGIARI
D;860;Iluwurru;LINGIARI
D;862;Alexandria Stn;LINGIARI
